execution,root,checkpoint,initiator,participants
f02_auto,0,before:EvidenceNet.t_Review_Request,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:EvidenceNet.t_Review_Request,EvidenceNet.t_Review_Request,EvidenceNet.t_Review_Request
f02_auto,0,before:ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
f02_auto,0,before:ProfessorAgent.t_StartReview,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:ProfessorAgent.t_AssessEvidence,ProfessorAgent.t_AssessEvidence,"EvidenceNet.t_Grade_Assign,EvidenceObject.t_Grade_Assign,ProfessorAgent.t_AssessEvidence"
f02_auto,0,before:ProfessorAgent.t_AssessEvidence,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:ProfessorAgent.t_ApproveEvidence,ProfessorAgent.t_ApproveEvidence,"ProfessorAgent.t_ApproveEvidence,UniversityAgent.t_ReceiveEvidence"
f02_auto,0,before:ProfessorAgent.t_ApproveEvidence,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:UniversityAgent.t_VerifyEvidence,UniversityAgent.t_VerifyEvidence,UniversityAgent.t_VerifyEvidence
f02_auto,0,before:UniversityAgent.t_VerifyEvidence,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:UniversityAgent.t_RequestCredential,UniversityAgent.t_RequestCredential,"CompetencyNet.t_Review_Init,CredentialObject.t_StartReview,UniversityAgent.t_RequestCredential"
f02_auto,0,before:UniversityAgent.t_RequestCredential,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:CompetencyNet.t_Verification_Pass,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:CompetencyNet.t_Verification_Pass,CompetencyNet.t_Verification_Pass,"CompetencyNet.t_Verification_Pass,CredentialObject.t_Validate"
f02_auto,0,before:UniversityAgent.t_IssueCredential,UniversityAgent.t_IssueCredential,"CompetencyNet.t_SBT_Mint,CredentialObject.t_Mint,UniversityAgent.t_IssueCredential,WalletNet.t_ReceiveCredential"
f02_auto,0,before:UniversityAgent.t_IssueCredential,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f02_auto,0,before:StudentAgent.t_WaitCredential,CompetencyNet.t_DenyInvalidIssuerSignature,"CompetencyNet.t_DenyInvalidIssuerSignature,CredentialObject.t_DenyInvalidIssuerSignature,StudentAgent.t_AbortSubmitted,WalletNet.t_AbortReceived"
f02_auto,0,before:StudentAgent.t_ReceiveCredential,StudentAgent.t_ReceiveCredential,"StudentAgent.t_ReceiveCredential,WalletNet.t_RequestConsent"
